stn_no,lat,long,Ave_NDVI,Rainfal
409,-5.781156,144.048868,0.741766,2607.150635
410,-5.697823,144.048868,0.756434,2611.845947
411,-5.614489,144.048868,0.857671,2655.691895
412,-5.531156,144.048868,0.83816,2723.353271
413,-5.447823,144.048868,0.833749,2810.280029
414,-5.364489,144.048868,0.8787,2865.88916
415,-5.281156,144.048868,0.86068,2901.672119
416,-5.197823,144.048868,0.876486,2927.714111
417,-5.114489,144.048868,0.8553,2950.969482
418,-5.031156,144.048868,0.894657,2993.0271
419,-4.947823,144.132202,0.830503,3096.459961
420,-5.031156,144.132202,0.881137,3013.351563
421,-5.114489,144.132202,0.869317,2956.842529
422,-5.197823,144.132202,0.862943,2936.053711
423,-5.281156,144.132202,0.859,2916.588379
424,-5.364489,144.132202,0.88276,2881.710693
425,-5.447823,144.132202,0.858237,2813.19751
426,-5.531156,144.132202,0.845786,2701.313965
427,-5.614489,144.132202,0.803394,2595.935303
428,-5.697823,144.132202,0.765551,2510.337158
429,-5.781156,144.132202,0.742374,2506.413086
430,-5.864489,144.132202,0.778606,2606.297852
431,-5.947823,144.132202,0.866743,2803.599854
432,-6.031156,144.132202,0.838906,2988.499268
433,-6.114489,144.132202,0.842629,3192.592285
434,-6.197823,144.132202,0.827223,3328.165771
435,-6.281156,144.132202,0.856343,3390.582764
436,-6.364489,144.132202,0.805097,3392.682373
437,-6.447823,144.132202,0.79368,3430.210205
438,-6.531156,144.132202,0.861829,3515.625732
439,-6.614489,144.132202,0.855571,3626.47168
440,-6.697823,144.132202,0.83184,3715.331787
441,-6.781156,144.132202,0.794823,3739.387695
442,-6.781156,144.215535,0.895494,3800.862305
443,-6.697823,144.215535,0.83908,3782.195801
444,-6.614489,144.215535,0.844291,3655.933105
445,-6.531156,144.215535,0.873031,3514.804443
446,-6.447823,144.215535,0.849286,3414.478027
447,-6.364489,144.215535,0.813389,3412.677979
448,-6.281156,144.215535,0.848794,3467.528809
449,-6.197823,144.215535,0.883629,3437.084961
450,-6.114489,144.215535,0.89848,3259.191406
451,-6.031156,144.215535,0.869631,3022.869141
452,-5.947823,144.215535,0.830211,2779.200684
453,-5.864489,144.215535,0.748174,2535.549072
454,-5.781156,144.215535,0.741034,2380.987549
455,-5.697823,144.215535,0.743289,2397.63208
456,-5.614489,144.215535,0.78824,2541.078369
457,-5.531156,144.215535,0.793774,2692.309082
458,-5.447823,144.215535,0.880726,2817.822266
459,-5.364489,144.215535,0.850191,2898.553223
460,-5.281156,144.215535,0.879203,2929.001953
461,-5.197823,144.215535,0.871231,2933.978271
462,-5.114489,144.215535,0.899234,2961.282959
463,-5.031156,144.215535,0.887277,3030.244141
464,-4.947823,144.215535,0.871257,3126.787109
465,-4.864489,144.215535,0.878609,3233.594971
466,-4.864489,144.298868,0.866277,3234.4729
467,-4.947823,144.298868,0.881737,3136.998047
468,-5.031156,144.298868,0.865946,3044.049805
469,-5.114489,144.298868,0.912531,2971.557617
470,-5.197823,144.298868,0.87582,2935.755127
471,-5.281156,144.298868,0.860143,2928.987793
472,-5.364489,144.298868,0.87182,2896.769531
473,-5.447823,144.298868,0.879834,2824.924805
474,-5.531156,144.298868,0.859663,2688.397949
475,-5.614489,144.298868,0.8038,2541.764648
476,-5.697823,144.298868,0.770603,2411.813721
477,-5.781156,144.298868,0.762646,2394.523193
478,-5.864489,144.298868,0.815343,2529.454834
479,-5.947823,144.298868,0.853603,2740.353027
480,-6.031156,144.298868,0.910026,3008.504883
481,-6.114489,144.298868,0.924057,3232.459717
482,-6.197823,144.298868,0.882654,3419.194824
